provider_id,start_time,slot_type,duration
1,8:00,Regular,30
1,8:30,Regular,30
1,9:00,Regular,30
1,9:30,Regular,30
1,10:00,Regular,30
1,10:30,Regular,30
1,11:00,Regular,30
1,11:30,Regular,30
1,12:00,Break,60
1,13:00,Regular,30
1,13:30,Regular,30
1,14:00,Regular,30
1,14:30,Regular,30
1,15:00,Regular,30
1,15:30,Regular,30
1,16:00,Regular,30
1,16:30,Regular,30
2,8:00,Regular,30
2,8:30,Regular,30
2,9:00,Regular,30
2,9:30,Regular,30
2,10:00,Regular,30
2,10:30,Regular,30
2,11:00,Regular,30
2,11:30,Regular,30
2,12:00,Break,60
2,13:00,Regular,30
2,13:30,Regular,30
2,14:00,Regular,30
2,14:30,Regular,30
2,15:00,Regular,30
2,15:30,Regular,30
2,16:00,Regular,30
2,16:30,Regular,30
3,8:00,Regular,30
3,8:30,Regular,30
3,9:00,Regular,30
3,9:30,Regular,30
3,10:00,Regular,30
3,10:30,Regular,30
3,11:00,Regular,30
3,11:30,Regular,30
3,12:00,Break,60
3,13:00,Regular,30
3,13:30,Regular,30
3,14:00,Regular,30
3,14:30,Regular,30
3,15:00,Regular,30
3,15:30,Regular,30
3,16:00,Regular,30
3,16:30,Regular,30
4,8:00,Regular,30
4,8:30,Regular,30
4,9:00,Regular,30
4,9:30,Regular,30
4,10:00,Regular,30
4,10:30,Regular,30
4,11:00,Regular,30
4,11:30,Regular,30
4,12:00,Break,60
4,13:00,Regular,30
4,13:30,Regular,30
4,14:00,Regular,30
4,14:30,Regular,30
4,15:00,Regular,30
4,15:30,Regular,30
4,16:00,Regular,30
4,16:30,Regular,30
5,8:00,Regular,30
5,8:30,Regular,30
5,9:00,Regular,30
5,9:30,Regular,30
5,10:00,Regular,30
5,10:30,Regular,30
5,11:00,Regular,30
5,11:30,Regular,30
5,12:00,Break,60
5,13:00,Regular,30
5,13:30,Regular,30
5,14:00,Regular,30
5,14:30,Regular,30
5,15:00,Regular,30
5,15:30,Regular,30
5,16:00,Regular,30
5,16:30,Regular,30
6,8:00,Regular,30
6,8:30,Regular,30
6,9:00,Regular,30
6,9:30,Regular,30
6,10:00,Regular,30
6,10:30,Regular,30
6,11:00,Regular,30
6,11:30,Regular,30
6,12:00,Break,60
6,13:00,Regular,30
6,13:30,Regular,30
6,14:00,Regular,30
6,14:30,Regular,30
6,15:00,Regular,30
6,15:30,Regular,30
6,16:00,Regular,30
6,16:30,Regular,30
7,8:00,Regular,30
7,8:30,Regular,30
7,9:00,Regular,30
7,9:30,Regular,30
7,10:00,Regular,30
7,10:30,Regular,30
7,11:00,Regular,30
7,11:30,Regular,30
7,12:00,Break,60
7,13:00,Regular,30
7,13:30,Regular,30
7,14:00,Regular,30
7,14:30,Regular,30
7,15:00,Regular,30
7,15:30,Regular,30
7,16:00,Regular,30
7,16:30,Regular,30
8,8:00,Regular,30
8,8:30,Regular,30
8,9:00,Regular,30
8,9:30,Regular,30
8,10:00,Regular,30
8,10:30,Regular,30
8,11:00,Regular,30
8,11:30,Regular,30
8,12:00,Break,60
8,13:00,Regular,30
8,13:30,Regular,30
8,14:00,Regular,30
8,14:30,Regular,30
8,15:00,Regular,30
8,15:30,Regular,30
8,16:00,Regular,30
8,16:30,Regular,30
9,8:00,Regular,30
9,8:30,Regular,30
9,9:00,Regular,30
9,9:30,Regular,30
9,10:00,Regular,30
9,10:30,Regular,30
9,11:00,Regular,30
9,11:30,Regular,30
9,12:00,Break,60
9,13:00,Regular,30
9,13:30,Regular,30
9,14:00,Regular,30
9,14:30,Regular,30
9,15:00,Regular,30
9,15:30,Regular,30
9,16:00,Regular,30
9,16:30,Regular,30
10,8:00,Regular,30
10,8:30,Regular,30
10,9:00,Regular,30
10,9:30,Regular,30
10,10:00,Regular,30
10,10:30,Regular,30
10,11:00,Regular,30
10,11:30,Regular,30
10,12:00,Break,60
10,13:00,Regular,30
10,13:30,Regular,30
10,14:00,Regular,30
10,14:30,Regular,30
10,15:00,Regular,30
10,15:30,Regular,30
10,16:00,Regular,30
10,16:30,Regular,30
11,8:00,Regular,30
11,8:30,Regular,30
11,9:00,Regular,30
11,9:30,Regular,30
11,10:00,Regular,30
11,10:30,Regular,30
11,11:00,Regular,30
11,11:30,Regular,30
11,12:00,Break,60
11,13:00,Regular,30
11,13:30,Regular,30
11,14:00,Regular,30
11,14:30,Regular,30
11,15:00,Regular,30
11,15:30,Regular,30
11,16:00,Regular,30
11,16:30,Regular,30
12,8:00,Regular,30
12,8:30,Regular,30
12,9:00,Regular,30
12,9:30,Regular,30
12,10:00,Regular,30
12,10:30,Regular,30
12,11:00,Regular,30
12,11:30,Regular,30
12,12:00,Break,60
12,13:00,Regular,30
12,13:30,Regular,30
12,14:00,Regular,30
12,14:30,Regular,30
12,15:00,Regular,30
12,15:30,Regular,30
12,16:00,Regular,30
12,16:30,Regular,30
13,8:00,Regular,30
13,8:30,Regular,30
13,9:00,Regular,30
13,9:30,Regular,30
13,10:00,Regular,30
13,10:30,Regular,30
13,11:00,Regular,30
13,11:30,Regular,30
13,12:00,Break,60
13,13:00,Regular,30
13,13:30,Regular,30
13,14:00,Regular,30
13,14:30,Regular,30
13,15:00,Regular,30
13,15:30,Regular,30
13,16:00,Regular,30
13,16:30,Regular,30
14,8:00,Regular,30
14,8:30,Regular,30
14,9:00,Regular,30
14,9:30,Regular,30
14,10:00,Regular,30
14,10:30,Regular,30
14,11:00,Regular,30
14,11:30,Regular,30
14,12:00,Break,60
14,13:00,Regular,30
14,13:30,Regular,30
14,14:00,Regular,30
14,14:30,Regular,30
14,15:00,Regular,30
14,15:30,Regular,30
14,16:00,Regular,30
14,16:30,Regular,30
15,8:00,Regular,30
15,8:30,Regular,30
15,9:00,Regular,30
15,9:30,Regular,30
15,10:00,Regular,30
15,10:30,Regular,30
15,11:00,Regular,30
15,11:30,Regular,30
15,12:00,Break,60
15,13:00,Regular,30
15,13:30,Regular,30
15,14:00,Regular,30
15,14:30,Regular,30
15,15:00,Regular,30
15,15:30,Regular,30
15,16:00,Regular,30
15,16:30,Regular,30
16,8:00,Regular,30
16,8:30,Regular,30
16,9:00,Regular,30
16,9:30,Regular,30
16,10:00,Regular,30
16,10:30,Regular,30
16,11:00,Regular,30
16,11:30,Regular,30
16,12:00,Break,60
16,13:00,Regular,30
16,13:30,Regular,30
16,14:00,Regular,30
16,14:30,Regular,30
16,15:00,Regular,30
16,15:30,Regular,30
16,16:00,Regular,30
16,16:30,Regular,30
17,8:00,Regular,30
17,8:30,Regular,30
17,9:00,Regular,30
17,9:30,Regular,30
17,10:00,Regular,30
17,10:30,Regular,30
17,11:00,Regular,30
17,11:30,Regular,30
17,12:00,Break,60
17,13:00,Regular,30
17,13:30,Regular,30
17,14:00,Regular,30
17,14:30,Regular,30
17,15:00,Regular,30
17,15:30,Regular,30
17,16:00,Regular,30
17,16:30,Regular,30
18,8:00,Regular,30
18,8:30,Regular,30
18,9:00,Regular,30
18,9:30,Regular,30
18,10:00,Regular,30
18,10:30,Regular,30
18,11:00,Regular,30
18,11:30,Regular,30
18,12:00,Break,60
18,13:00,Regular,30
18,13:30,Regular,30
18,14:00,Regular,30
18,14:30,Regular,30
18,15:00,Regular,30
18,15:30,Regular,30
18,16:00,Regular,30
18,16:30,Regular,30
19,8:00,Regular,30
19,8:30,Regular,30
19,9:00,Regular,30
19,9:30,Regular,30
19,10:00,Regular,30
19,10:30,Regular,30
19,11:00,Regular,30
19,11:30,Regular,30
19,12:00,Break,60
19,13:00,Regular,30
19,13:30,Regular,30
19,14:00,Regular,30
19,14:30,Regular,30
19,15:00,Regular,30
19,15:30,Regular,30
19,16:00,Regular,30
19,16:30,Regular,30
20,8:00,Regular,30
20,8:30,Regular,30
20,9:00,Regular,30
20,9:30,Regular,30
20,10:00,Regular,30
20,10:30,Regular,30
20,11:00,Regular,30
20,11:30,Regular,30
20,12:00,Break,60
20,13:00,Regular,30
20,13:30,Regular,30
20,14:00,Regular,30
20,14:30,Regular,30
20,15:00,Regular,30
20,15:30,Regular,30
20,16:00,Regular,30
20,16:30,Regular,30
